   	CUSTOMER_CODE	COMPANY_CODE	BUSINESS_NO	OFFICER_NAME	OFFICER_NAME_ENG	CUSTOMER_NAME	CUSTOMER_NAME_ENG	NATION_CODE	ZIP_CODE	ADDRESS	ADDRESS_ENG	TEL_NO	FAX_NO	CO_CERTIFIED_EXPORTER_YN	CERTIFICATION_NO	REMARK	INTG_INTERFACE_TRANS_ID	TARGET_YN	EMAIL	SEND_RECEIVE_IDENTIFIER_CODE	DELETE_YN	ATTRIBUTE01	ATTRIBUTE02	ATTRIBUTE03	ATTRIBUTE04	ATTRIBUTE05	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY
15	410968	PLS100				HR공통	HR TEAM COMMON	KR	38034	경상북도 경주시 강동면 왕신리 1056번지. HR팀	HR DEPT. 1056, WANGSIN-RIGANGDONG-MYEONGYEONGJU, GYEONGSANGBUK-DO, KOREA			N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
16	410969	PLS100	130-42-66297	최용우		모어시스템	MORE SYSTEM	KR	14623	경기도 부천시 원미구상동 454대명엔스빌2 1310	DAEMYUNG ENSVILLE 2F ROOM1310, 454SANG-DONG, WONMI-GUBUCHEON, GYEONGGI-DO,KOREA	323247736		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
17	410970	PLS100	116-82-04758	유병택		(재)한국품질재단	KOREAN FOUNDATION FOR QUALITY	KR	8507	371-28 Gasan-dong, Geumcheon371-28 GASAN-DONG, GEUMCHEON-GUSEOUL, KOREA	371-28 Gasan-dong, Geumcheon371-28 GASAN-DONG, GEUMCHEON-GUSEOUL, KOREA	220259093	220259090	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
18	410971	PLS100				ASI DATAMYTE GMBH	ASI DATAMYTE GMBH	DE	30952	BAHNHOFSTR.3	BAHNHOFSTR.3	510956440	51094400	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
19	410972	PLS100	126-27-70862	이태유		*DEL*수정로지스3574	*DEL* SUJEONG LOGIS3574	KR	0	경기도 하남시 미사동 372-2 206	206, Misa-ding 372-2,Hanam, Gyeonggi-do, Korea	010-4934-8400		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
20	410973	PLS100	131-86-24917	오건석		주식회사 에버인스	EVERIN Co.,Ltd.	KR	22001	인천광역시 연수구 컨벤시아대로42번길 12 201-201(송도동,송도코오롱더프라우2단지)	12, Convensia-daero 42beon-gil,Yeonsu-guINCHEON, KOREA	02-777-4688	02-777-4689	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
21	410974	PLS100	602-81-17892	하동현		(주)이씨스	ECIS CO.,LTD	KR	48821	부산광역시 동구 중앙대로 196번길 12-5	12-5, JUNGANG-DAERO 196BEON-GILDONG-GUBUSAN, KOREA	519667000	519668000	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
22	410975	PLS100	129-81-16909	오문효		(주)남호	NAMHO	KR	12773	경기도 광주시 오포읍 능평로 116-14	116-14, Neungpyeong-ro, Opo-eup,GWANGJU, GYEONGGI-DO, KOREA	317075111	317262020	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
23	410976	PLS100	607-42-78444	서창화		동명정밀	DONGMYUNG PRECISION	KR	46027	부산광역시 기장군 정관면 산단3로 101-32	101-32, SANDAN 3-ROJEONGGWAN-MYEON, GIJANG-GUNBUSAN, KOREA	051-929-1375	051-92-91376	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
24	410977	PLS100	201-81-20189	김성욱		씨레일코리아(주)	SEARAIL KOREA CO.LTD	KR	4555	서울특별시 중구 저동2가48-27 금풍빌딩9층	GEUMPUNG B/D, 9F, 48-27JEODONG 2-GA, JUNG-GUSEOUL, KOREA	514658939		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
25	410978	PLS100	119-81-92180	이동호		(주)다호트로닉	DAHOTRONIC CO.,LTD	KR	8217	서울특별시 구로구 경인로 53길 90209호(구로동 에스티엑스	GURO-WAY STX ROOM209, 90GYEONGIN-RO 53-GIL, GURO-GUSEOUL, KOREA	28657001	28657109	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
26	100998	PLS100	620-81-01646			부국산업(주)	BOOGOOK INDUSTRIES CO., LTD.	KR	689823	울산광역시 울주군 상북면 길천리 길천산업단지 4블럭 26놋트	218-2, YANG DYEUNG-RISANG BUK-MYEON, ULJU-GUN	052-264-7600-4	052-264-7611	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
27	101009	PLS100	134-86-01892	황재철		원폴리텍주식회사	WON POLYTECH Co. Ltd	KR	15098	경기도 시흥시 공단1대로28번길 15, 시화공단 1다 207호	15 Gongdan 1-daero 28beon-gilSiheung, Gyeonggi-do, Korea	031-499-4491	031-499-4495	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
28	101010	PLS100	135-81-06385			(주)만앤휴멜동우	MAN&HUMEL DONGWOO CO., LTD.	KR	26365	강원도 원주시 문막읍 동화리 1681-2	1681-2BUNGI, DONGHWA-RI MUNMAK-EUP	033-760-4035	-	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
29	101011	PLS100	622-81-06443			동아화성(주)	DONG-A HWA SUNG CO., LTD.	KR	621834	경상남도 김해시 장유면유하리 334-1	334-1, YU- HA-RI, JANG YU-MYEON	055-338-1800	055-338-2034	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
30	101025	PLS100				HENGST SE & CO. KG	HENGST SE & CO. KG	DE	48147	NIENKAMP 55 - 85	NIENKAMP 55 - 85			N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
31	101027	PLS100	621-81-05780	허성룡 외 1명		(주)화승코퍼레이션	Hwaseung Corporation Co., Ltd.	KR	50592	경상남도 양산시 충렬로 61	61, Chulryul-ro,Yangsan, Gyeongsangnam-do, Korea	055-370-3315	055-387-8817	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
32	101040	PLS100	505-81-30105	박운형		(주)경보라인	KYOUNG BO LINE CO.,LTD	KR	38039	경상북도 경주시 천북면 모아동산길 207-14	861-12, DONG-SAN RI, CHUN BUK-MYEON	054-775-8671	054-775-8673	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
33	410979	PLS100	104-81-16860	한병희		롯데하이마트(주)	LOTTE HI-MART CO.,LTD	KR	6288	서울특별시 강남구 삼성로 156(대치동)	156, SAMSEONG-RO, GANGNAM-GUSEOUL, KOREA	547715444	547747747	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
34	410980	PLS100	610-22-15113	이태원		시원유통	SIWON YUTONG	KR	44986	울산광역시 울주군 청량면 화창9길 14	14, Hwachang 9-gil,Cheonglyang-myeonUnju-gun, Ulsan	522276911	522934422	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
35	410981	PLS100	620-81-23844	김부진		(주)비케이로직스	BK LOGICS CO., LTD.	KR	44247	울산광역시 북구 연암동502-1	502-1, YEONAM-DONG, BUK-GUULSAN, KOREA	522883886		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
36	410982	PLS100	504-17-71631	임휘종 외2명		뉴달구벌공조	NEW DALGUBUL GONGJO	KR	41904	대구광역시 중구 태평로 287(동인동3가,1층)	287, TAEPYEONG-RO, JUNG-GUDAEGU, KOREA	534231550	534213265	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
37	410983	PLS100	307-81-06054	이해선		코웨이(주)	COWAY CO., LTD.	KR	32508	136-23, Yugumagoksa-ro, Yugu-eup,GONGJU, CHUNGCHEONGNAM-DO, KOREA	136-23, Yugumagoksa-ro, Yugu-eup,GONGJU, CHUNGCHEONGNAM-DO, KOREA	547767800	547767802	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
38	410984	PLS100	610-10-88535	김정기		내일아이에스	NAEIL IS	KR	61441	광주광역시 동구 준법로 5(지산동,1층)	5, JUNBEOP-RO, DONG-GUGWANGJU, KOREA	7040271997		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
39	410985	PLS100	504-05-47308	조재성		서광기계	SEOKWANG Engineering	KR	42764	대구광역시 달서구 달서대로 91	91, DALSEO-DAERO, DALSEO-GUDAEGU, KOREA	533565362	533565369	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
40	410986	PLS100	504-16-09538	김병진		삼양보일러	SAMYANG BOILER	KR	41503	대구광역시 북구 검단북로 2-3(산격동)	2-3, GEOMDANBUK-RO, BUK-GUDAEGU, KOREA	533813878	539513878	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
41	410987	PLS100	213-86-14647	오삼균		파이퍼베큠코리아(유)	PIPER VACUUM KOREA LTD.	KR	16827	경기도 용인 수지구 동천동853-1한국물류 -703	853-1, HANKOOK LOIGISTIC 703DONGCHEON-DONG, SUJI-GUYONGIN, GYEONGGI-DO, KOREA	312660741	312660747	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
42	410988	PLS100	140-81-38365	최원경		천공도크(주)	CHEONGONG DOCK CO.,LTD	KR	18537	경기도 화성시 마도면해문리 334-20	334-20, HAEMUN-RI, MADO-MYEONHWASEONG, GYEONGGI-DO, KOREA	313562142		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
43	410989	PLS100	502-16-69243	신윤철		신광지질	SHINGWANG JIGIL	KR	41129	대구광역시 동구 용계동728-1용계타운 102-501	728-1, YONGGYE TOWN 102-501YONGGYEDONG, DONG-GUDAEGU, KOREA	539629475	539629475	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
44	410990	PLS100	124-32-57213	정명순		성지E&C	SUNGJI E&C	KR	18530	경기도 화성시 팔탄면율암리 571-3	571-3, YURAM-RI, PALTAN-MYEONHWASEONG, GYEONGGI-DO, KOREA	313543638	313543637	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
45	410991	PLS100	609-10-50719	여종구		부웅테크	BUWUNG TECH	KR	50848	경상남도 김해시 한림면 장방리 799-3	799-3, JANGBANG-RI, HALLIM-MYEONGIMHAE, GYEONGSANGNAM-DO, KOREA	055-343-7822	055-343-7827	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
46	410992	PLS100	514-81-79757	이흔수		(주)대진기공	DAEJIN GIGONG	KR	42902	대구광역시 달성군 하빈면현내리 350-7	350-7, HYEONNAE 1-RI, HABIN-MYEONDALSEONG-GUNDAEGU, KOREA	535822008	535822038	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
47	410993	PLS100	214-88-00801	변명철		(주)진에듀컨설팅	JIN EDU CONSULTING	KR	6621	서울특별시 서초구 서초동1328-7 대오도씨에빛 1706	1328-7, SEOCHO 2-DONG, SEOCHO-GUSEOUL, KOREA			N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
48	410994	PLS100	505-14-21360	강준호		소망용역	SOMANG SERVICES	KR	38149	경상북도 경주시 양정로102-3(성동동)	102-3, YANGJEONG-ROGYEONGJU, GYEONGSANGBUK-DO, KOREA	1035165080		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
49	410995	PLS100	119-86-37203	박석기		에스세븐컨트롤(주)	S SEVEN CONTROL CO, LTD.	KR	8512	서울특별시 금천구 가산동60-44이앤씨드림타워7차 602	60-44, ENC DREAM TOWER 7THGASAN-DONG, GEUMCHEON-GUSEOUL, KOREA	28577747	28587745	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
50	410996	PLS100	610-82-10640	양순용		울산대학교 산학협력단	ULSAN UNIVERSITY INDUSTRY ACADEMIC	KR	44621	울산광역시 남구 무거동산 29	29, MUGEO-DONG, NAM-GUULSAN, KOREA	522592778		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
51	410997	PLS100	504-02-39675	정백기		삼화프라스틱	SAMHWA PLASTIC	KR	41211	대구광역시 동구 신암남로 73 (신암동)	Shinamnam-ro 73, Dong-gu,DAEGU, KOREA(Shinam-dong)	537421987	539511488	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
52	410998	PLS100	505-09-02302	장대석		개인용달	GAEIN YONGDAL	KR	38051	경상북도 경주시 현곡면금장리 410-6삼성강변타운 1	410-6, SAMSUNG RIVERSIDE TOWN, GEUMJANG 4-RI, HYEONGOK-MYEONGYEONGJU, GYEONGSANGBUK-DO, KOREA	175600585		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
53	410999	PLS100	506-17-37250	이호상		동해컨테이너	DONGHAE CONTAINER	KR	37516	경상북도 포항시 북구 청하면 미남리 711-8번지	711-8, MINAM-RI, CHEONGHA-MYEONBUK-GUPOHANG, GYEONGSANGBUK-DO, KOREA	542318177	542318170	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
54	411000	PLS100	610-81-72765	정형산		주식회사 마로	MALO CO.,LTD	KR	44775	울산광역시 남구 산업로 87, 2층 201호(상개동)	87, Saneop-ro,Ulsan, Korea	052-261-7781	052-261-5582	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
55	411001	PLS100	505-10-06890	김진섭		무경소방감리	MUKYEONG SOBANG GAMLY	KR	38108	경상북도 경주시 동천동887-5심산원룸 102	887-5, SHIMSAN B/D 102DONGCHEON-DONGGYEONGJU, GYEONGSANGBUK-DO, KOREA	547433119		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
56	411002	PLS100	120-82-00182	한덕수		(사)한국무역협회	KOREA INTERNATIONAL TRADE	KR	6164	서울특별시 강남구 영동대로511(삼성동,무역회관470	TRADE CENTER TRADE TOWER 470, 511YEONGDONG-DAERO, GANGNAM-GUSEOUL, KOREA	312597851		N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
57	411003	PLS100	505-81-50964	이재학		미르디자인건설(주)	MIR DESIGN CONSTRUCTION CO., LTD	KR	38219	경상북도 경주시 양남면나아5길 8	8, NAA 5-GIL, YANGNAM-MYEONGYEONGJU, GYEONGSANGBUK-DO, KOREA	054-745-9601	054-772-9600	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
58	101053	PLS100				NIFCO INC.	NIFCO INC.	JP	2291112	1-2-3, MIYASHIMO	1-2-3, MIYASHIMO	81 46 839-0292	427719585	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
59	101054	PLS100	620-85-01396	최현돈		(주)니프코코리아울산공장	NIFCO KOREA INC. ULSAN FACTORY	KR	44905	울산광역시 울주군 길천산업로 185	185, GilcheonSanup-ro, Ulju-gunUlsan, Korea	052-255-4725	052-264-6280	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
60	101057	PLS100	513-81-03517	야마시타 마사히데		한국닛다무아(주)	KOREA NITTA MOORE CORP.	KR	39266	경상북도 구미시 수출대로5길53 (공단동)	145-6BUNJI, GONGDAN 1-DONG	054-461-5576	054-461-5351	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
61	101060	PLS100	211-81-38347	최상건		NPK CO., LTD	NPK CO., LTD	KR	39417	7	7	054-479-7328	054-475-3006	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
62	101062	PLS100	312-81-12975	허광일		(주)패커드코리아	PACKARD KOREA	KR	31038	충청남도 천안시 서북구 직산읍 부송상덕길 5-14	5-14, Busongsangdeok-gil,Jiksan-eupSebuk-gu, Chungcheongnam-do, Korea	041-580-8189	041-584-6001	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
63	101071	PLS100	514-81-57898	김종석,황순용		평화산업(주)	PYUNG HWA INDUSTRIAL CO.,LTD	KR	42982	대구광역시 달성군 논공읍본리리 29-17	29-17, BOLLI-RI NONGONG-EUPDALSEONG-GUN	053-610-7323	053-610-7377	N			90718	N			N						2025-09-30  11:12:15	PKG01_IF_LOAD.CUSTOMER_PROC	2025-09-30  11:12:52	PKG01_IF_LOAD.CUSTOMER_PROC
