   	SALES_NO	DIVISION_CODE	COMPANY_CODE	CUSTOMER_CODE	EXPORT_FLAG	DEPARTMENT_CODE	INVOICE_DATE	STATUS	EXPORTER_NAME	EXPORTER_REPRESENTATIVE_NAME	EXPORTER_BIZ_NO	EXPORTER_TEL_NO	EXPORTER_ADDRESS	PRODUCER_NAME	PRODUCER_REPRESENTATIVE_NAME	PRODUCER_BIZ_NO	PRODUCER_TEL_NO	PRODUCER_ADDRESS	INKOTERMS	INVOICE_NO	EXPORT_DECLARE_NO	EXPORT_DECLARE_DATE	EXPORT_ACCEPT_DATE	TARGET_FTA_CODE	BL_NO	VEHICLE_TYPE	VEHICLE_NAME	DEPARTURE_PORT_CODE	DEPARTURE_PORT_NAME	SHIPPING_DATE	ARRIVAL_CUSTOMER	ARRIVAL_NATION	ARRIVAL_PORT_CODE	ARRIVAL_PORT_NAME	PACKING_MARK	PACKING_COUNT	TOTAL_WEIGHT	COUNT_UNIT	CUSTOMS_CODE	COO_CERTIFY_NO	COO_ISSUE_TYPE	COO_DATE	INTG_INTERFACE_TRANS_ID	VIRTUAL_YN	SHIPMENT_BEFORE	SHIPMENT_AFTER	SHIP_INVOICE_NO	SALES_TYPE	INVOICE_HEADER_ID	DELIVERY_CUSTOMER_CODE	ATTRIBUTE01	ATTRIBUTE02	ATTRIBUTE03	ATTRIBUTE04	ATTRIBUTE05	DELETE_YN	CREATE_DATE	CREATE_BY	UPDATE_DATE	UPDATE_BY	EXPORT_TOT_DECLARE_SEQ	EMP_NO
29	95375660	PLS101	PLS100	1000933	D		20260701	1	기아자동차㈜광주		 	 / 	서구화운로 277(내방동)	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000933						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
30	95384400	PLS101	PLS100	1000930	D		20260701	1	현대 모비스㈜		 	 / 	강남구테헤란로 203	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000930						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
31	95375701	PLS101	PLS100	1000933	D		20260702	1	기아자동차㈜광주		 	 / 	서구화운로 277(내방동)	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000933						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
32	95375708	PLS101	PLS100	1001828	D		20260702	1	(주)비엠피(B.M.P)		 	 / 	울산광역시고연공단2길	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1001828						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
33	95375707	PLS101	PLS100	1001828	D		20260702	1	(주)비엠피(B.M.P)		 	 / 	울산광역시고연공단2길	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1001828						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
34	95375674	PLS101	PLS100	1000928	D		20260702	1	케이지모빌리티 주식회사		 	 / 	평택시동삭로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000928						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
35	95375675	PLS101	PLS100	1000928	D		20260702	1	케이지모빌리티 주식회사		 	 / 	평택시동삭로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000928						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
36	95375676	PLS101	PLS100	1000928	D		20260702	1	케이지모빌리티 주식회사		 	 / 	평택시동삭로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000928						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
37	95375673	PLS101	PLS100	1000928	D		20260702	1	케이지모빌리티 주식회사		 	 / 	평택시동삭로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000928						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
38	95375668	PLS101	PLS100	1000420	D		20260702	1	한국지엠㈜		 	 / 	인천부평대로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000420						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
39	95375667	PLS101	PLS100	1000420	D		20260702	1	한국지엠㈜		 	 / 	인천부평대로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000420						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
40	95375683	PLS101	PLS100	1000929	D		20260702	1	현대자동차㈜울산공장		 	 / 	북구염포로 700	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000929						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
41	95375686	PLS101	PLS100	1000929	D		20260702	1	현대자동차㈜울산공장		 	 / 	북구염포로 700	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000929						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
42	95375696	PLS101	PLS100	1000932	D		20260702	1	기아 자동차㈜		 	 / 	화성기아자동차로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000932						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
43	95375684	PLS101	PLS100	1000929	D		20260702	1	현대자동차㈜울산공장		 	 / 	북구염포로 700	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000929						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
44	95375685	PLS101	PLS100	1000929	D		20260702	1	현대자동차㈜울산공장		 	 / 	북구염포로 700	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000929						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
45	95375682	PLS101	PLS100	1000929	D		20260702	1	현대자동차㈜울산공장		 	 / 	북구염포로 700	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000929						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
46	95375695	PLS101	PLS100	1000932	D		20260702	1	기아 자동차㈜		 	 / 	화성기아자동차로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000932						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
47	95382648	PLS101	PLS100	1000930	D		20260702	1	현대 모비스㈜		 	 / 	강남구테헤란로 203	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000930						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
48	95376520	PLS101	PLS100	1000933	D		20260703	1	기아자동차㈜광주		 	 / 	서구화운로 277(내방동)	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000933						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
49	95375702	PLS101	PLS100	1000933	D		20260703	1	기아자동차㈜광주		 	 / 	서구화운로 277(내방동)	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000933						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
50	95397485	PLS101	PLS100	1000930	D		20260703	1	현대 모비스㈜		 	 / 	강남구테헤란로 203	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000930						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
51	95382649	PLS101	PLS100	1000930	D		20260703	1	현대 모비스㈜		 	 / 	강남구테헤란로 203	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000930						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
52	95397486	PLS101	PLS100	1000930	D		20260703	1	현대 모비스㈜		 	 / 	강남구테헤란로 203	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000930						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
53	95398602	PLS101	PLS100	1000930	D		20260703	1	현대 모비스㈜		 	 / 	강남구테헤란로 203	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000930						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
54	95397487	PLS101	PLS100	1000930	D		20260703	1	현대 모비스㈜		 	 / 	강남구테헤란로 203	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000930						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
55	95375705	PLS101	PLS100	1000941	D		20260703	1	(주)성호테크		 	 / 	경상북도 영천시채신2공단길 88 (채신동)	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000941						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
56	95375680	PLS101	PLS100	1000928	D		20260703	1	케이지모빌리티 주식회사		 	 / 	평택시동삭로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000928						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
57	95375679	PLS101	PLS100	1000928	D		20260703	1	케이지모빌리티 주식회사		 	 / 	평택시동삭로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000928						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
58	95375677	PLS101	PLS100	1000928	D		20260703	1	케이지모빌리티 주식회사		 	 / 	평택시동삭로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000928						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
59	95375678	PLS101	PLS100	1000928	D		20260703	1	케이지모빌리티 주식회사		 	 / 	평택시동삭로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000928						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
60	95375681	PLS101	PLS100	1000928	D		20260703	1	케이지모빌리티 주식회사		 	 / 	평택시동삭로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000928						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
61	95375670	PLS101	PLS100	1000420	D		20260703	1	한국지엠㈜		 	 / 	인천부평대로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000420						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
62	95375669	PLS101	PLS100	1000420	D		20260703	1	한국지엠㈜		 	 / 	인천부평대로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000420						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
63	95376507	PLS101	PLS100	1000420	D		20260703	1	한국지엠㈜		 	 / 	인천부평대로	오피모빌리티씨파워코리아 주식회사	박철	5058106702	054-760-2119	경상북도 경주시 강동면 천강로 534-48																									99122	N				D		1000420						N	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC	2026-08-12  11:56:11	PKG01_IF_LOAD.SALES_PROC		
